'chao'bie'huang'he'lou 朝别黄鹤楼
'bu'zhi'ji'qian'li 不知几千里
'bu'ci'bian'chang'yang'chun 不辞遍唱阳春
'gu'yuan'chang'duan'chu 故园肠断处
'jiao'ru'qun'di'can'long'xiang 矫如群帝骖龙翔
'bei'ji'huai'ming'zhu 北极怀明主
'chun'qu'xia'you'qing 春去夏犹清
'yi'zhang'ting'jiang'sheng 倚杖听江声
'xiang'ren'wei'lu'ding'xiang'ke 向人微露丁香颗
'feng'yu'xia'xi'lou 风雨下西楼
'luo'po'jiang'hu'zai'jiu'hang 落魄江湖载酒行
'fu'jian'chuang'hu'ming 复见窗户明
'fu'xian'chuang'hu'ming 复见窗户明
'er'liu'chuan'zhi'jin 而流传至今
'yu'shen'yan'yao'tian'ya'lu 鱼沈雁杳天涯路
'yu'chen'yan'yao'tian'ya'lu 鱼沈雁杳天涯路
'ai'dan'ben'jiu'qu 哀弹本旧曲
'ai'tan'ben'jiu'qu 哀弹本旧曲
'wo'ting'nan'gong'qing'lou'chang 卧听南宫清漏长
'wo'ting'nan'gong'qing'lou'zhang 卧听南宫清漏长
'xian'yang'gu'dao'yin'chen'jue 咸阳古道音尘绝
'tong'hang'jie'lang'bei 同行皆狼狈
'tong'xing'jie'lang'bei 同行皆狼狈
'shan'yue'zhao'tan'qin 山月照弹琴
'yan'bo'cai'dong'bei'ren'cai 眼波才动被人猜
'wang'gu'xiang'miao'miao 望故乡渺邈
'xi'feng'ji'shi'lai 西风几时来
'wu'tong'ban'si'qing'shuang'hou 梧桐半死清霜后
'ruo'wu'shui'dian'long'zhou'shi 若无水殿龙舟事
'jin'xiang'mao'kong'san 尽向毛孔散
'ai'duo'ru'geng'wen 哀多如更闻
'ai'er'bu'jian 爱而不见
'ai'er'bu'xian 爱而不见
'ai'er'bu'jian'hen'wu'qiong 爱而不见恨无穷
'ai'er'bu'xian'hen'wu'qiong 爱而不见恨无穷
'ai'er'bu'jian'xin'duan'jue 爱而不见心断绝
'shi'jiao'shou'er'xia'guan 时矫首而遐观
'xin'qie'kong'fang'bu'ren'gui 心怯空房不忍归
'mi'hua'bu'shi'jun 迷花不事君
'mi'hua'fou'shi'jun 迷花不事君
'du'shang'gao'lou'wang 独上高楼望
'dong'fang'zuo'ye'ting'hong'zhu 洞房昨夜停红烛
'yun'jian'lian'xia'ta 云间连下榻
'wan'shi'bu'guan'xin 万事不关心
'tian'xia'jiang'shan'di'yi 天下江山第一
'ai'er'bu'ke'jian 爱而不可见
'shui'dian'feng'lai'an'xiang'man 水殿风来暗香满
'ci'qing'xu'wen'tian 此情须问天
'shan'zhong'xiang'song'ba 山中相送罢
'shan'zhong'xiang'song'pi 山中相送罢
'qie'cha'mei'hua'zui'luo'yang 且插梅花醉洛阳
'ju'cha'mei'hua'zui'luo'yang 且插梅花醉洛阳
'qu'cha'mei'hua'zui'luo'yang 且插梅花醉洛阳
'chang'de'jun'wang'dai'xiao'kan 常得君王带笑看
'chang'dei'jun'wang'dai'xiao'kan 常得君王带笑看
'cang'cang'heng'cui'wei 苍苍横翠微
'jian'hu'ji'wu'ren 涧户寂无人
'han'yi'chu'chu'cui'dao'chi 寒衣处处催刀尺
'han'yi'chu'chu'cui'dao'che 寒衣处处催刀尺
'yun'qu'ying'xiong'bu'zi'you 运去英雄不自由
'yi'yi'xiang'wu'hua 依依向物华
'ding'ding'zhu'tian'ya 定定住天涯
'ai'er'bu'shang 哀而不伤
'ai'feng'ren'zhi'zi'ye 艾封人之子也
