'zeng'ji'shi 曾纪泽
'zeng'jian'hui 曾建徽
'zeng'jian'hui 曾建徽
'zeng'ling 曾玲
'zeng'ling 曾玲
'zeng'pu 曾朴
'ceng'piao 曾朴
'ceng'po 曾朴
'zeng'pu 曾朴
'zeng'piao 曾朴
'zeng'po 曾朴
'zeng'qi'quan 曾启全
'zeng'qi'quan 曾启全
'ceng'qing'zhu 曾庆祝
'zeng'qing'zhu 曾庆祝
'zeng'shao'zong 曾少宗
'zeng'wan'zhong 曾万钟
'zeng'wan'zhong 曾万钟
'ceng'mo'zhong 曾万钟
'zeng'mo'zhong 曾万钟
'zeng'wei 曾炜
'zeng'xian'feng 曾宪锋
'zeng'xian'feng 曾宪锋
'ceng'xiang'jin 曾祥金
'zeng'xiang'jin 曾祥金
'ceng'xiao'gu 曾孝谷
'zeng'xiao'gu 曾孝谷
'ceng'xiao'yu 曾孝谷
'zeng'xiao'yu 曾孝谷
'zeng'ye'hui 曾业辉
'zeng'ye'hui 曾业辉
'zeng'yin'quan 曾荫权
'zeng'ze'sheng 曾泽生
'zeng'ze'sheng 曾泽生
'ceng'shi'sheng 曾泽生
'zeng'shi'sheng 曾泽生
'zeng'zhi'qiao 曾之乔
'zeng'zhi'wei 曾志伟
'zeng'zi 曾子
'zeng'zi'hang 曾子航
'cha'sheng 茶圣
'zha'ke'xin 查可欣
'zha'ke'xin 查可欣
'cha'li'da'di 查理大帝
'cha'mu'xin 查慕新
'zha'mu'xin 查慕新
'cha'wei'si 查韦斯
'cha'xian'nu 查仙奴
'zha'xian'nu 查仙奴
'zha'xiao'xin 查小欣
'zha'xiao'xin 查小欣
'cha'he'tai 察合台
'chai'jin 柴进
'chai'jing 柴静
'chai'rong 柴荣
'chai'zong'xun 柴宗训
'chang'bao 常宝
'chang'hao 常昊
'chang'hong'li 常红利
'chang'kuan 常宽
'chang'ming'fang 常明芳
'chang'ren'xia 常任侠
'chang'wan'hua 常婉华
'chang'xiang'yu 常香玉
'chang'xiao'yang 常晓阳
'chang'ying 常颖
'chang'yu'chun 常遇春
'chang'yuan 常远
'chang'e 嫦娥
'chao'bu'zhi 晁补之
'chao'cuo 晁错
'chao'gai 晁盖
'chao'heng 晁衡
'che'er'ni'xue'fu'si'ji 车尔尼雪夫斯基
'che'jing'xing 车径行
'ju'jing'xing 车径行
'che'tai'xuan 车太铉
'ju'tai'xuan 车太铉
'che'ze'wu 车泽武
'ju'ze'wu 车泽武
'che'shi'wu 车泽武
'ju'shi'wu 车泽武
'chen'yi'ru 辰亦儒
'chen'ai'gong 陈哀公
'chen'ai'gong'gui'ruo 陈哀公妫弱
'chen'ai'lian 陈爱莲
'chen'an'bao 陈安保
'chen'an'qi 陈安齐
'chen'ba'xian 陈霸先
'chen'bai'chen 陈白尘
'chen'bai'sha 陈白沙
'chen'bo'lin 陈柏霖
'chen'bo'xiang 陈柏祥
'chen'bai'xiang 陈柏祥
'chen'bao'guo 陈宝国
'chen'bao'lian 陈宝莲
'chen'bao'zhen 陈宝箴
'chen'bi'jun 陈璧君
'chen'bin 陈斌
'chen'bo 陈波
'chen'bo'er 陈波儿
'chen'bo'chui 陈伯吹
'chen'bo'da 陈伯达
'chen'bo'hua 陈伯华
'chen'bo'zong 陈伯宗
'chen'bu'lei 陈布雷
'chen'chang'feng 陈昌凤
'chen'chen 陈辰
'chen'cheng'gong 陈成公
'chen'cheng'gong'gui'wu 陈成公妫午
'chen'cheng 陈诚
'chen'chong 陈冲
'chen'chong 陈翀
'chen'chuang 陈闯
'chen'chun 陈春
'chen'chun'zhen 陈纯甄
'chen'da 陈达
'chen'da'bei 陈大悲
'chen'da'qi 陈大齐
'chen'da'yang 陈大阳
'chen'dao'ming 陈道明
