'cu'ran'chang'shi 猝然长逝
'tang'lai'zhi'wu 倘来之物
'liao'chuang'wan'rou 疗疮剜肉
'du'mai'xin'wen 读卖新闻
'yun'tun'wu'san 云屯雾散
'zuo'niu'zuo'ma 作牛作马
'zheng'ning'ke'wei 狰狞可畏
'fu'yu 富余
'fu'li'ke'ji 复礼克己
'li'jie'er'shang 历阶而上
'ai'jian'ca'bang 挨肩擦膀
're'di'you'yan 热地蚰蜒
'fen'wai'yan'ming 分外眼明
'jie'qie'dan'nang 揭箧担囊
'yi'sheng'yi'si 一生一死
'wai'qiang'zhong'ji 外强中瘠
'kong'ming'xuan'tou 空名宣头
'zhuang'zhong'fa'gu 撞钟伐鼓
'qing'zhi'suo'zhong 情之所钟
'tian'zhi'jie'ye 添枝接叶
'yu'qu'yu'qiu 予取予求
'fei'huang'teng'ta 飞黄腾踏
'kong'kong'miao'shou 空空妙手
'qing'shen'ru'hai 情深如海
'tong'guan'quan'ju 通观全局
'nu'mu'ji'zhi 怒目戟指
'lei'luo'yi'dang 磊落轶荡
'zhu'geng 助耕
'a'quan'hu'shi 阿权膴仕
'a'quan'wu'shi 阿权膴仕
'e'quan'hu'shi 阿权膴仕
'e'quan'wu'shi 阿权膴仕
'qi'chong'na'wu 启宠纳侮
'xiang'jian'wu'sha 象简乌纱
'gua'yan'shao'yu 寡言少语
'huang'men'bei'si 黄门北寺
'ji'feng'bao'yu 疾风暴雨
'qing'lian'dao'shi 青莲道士
'xin'you'wan'ren 心游万仞
'sheng'si'wen'zi 生死文字
'wu'bing'er'si 无病而死
'ji'hui 积毁
'wu'he'you 无何有
'wu'zuo'fei'wei 误作非爲
'zhi'rong'shou'ru 知荣守辱
'mei'yao'mei'jin 没要没紧
'mei'yao'mo'jin 没要没紧
'qin'ren'fei'fu 沁人肺腑
'xi'nong'can'jun 戏弄参军
'zhui'xiong'die'zu 椎胸跌足
'chui'xiong'die'zu 椎胸跌足
'qiu'qi'you'sheng 求其友声
'yi'bo'you'qi 一波又起
'bai'ri'zuo'meng 白日做梦
'yang'que'xian'huan 杨雀衔环
'yang'qiao'xian'huan 杨雀衔环
'jiao'sheng'guan'yang 娇生惯养
'po'you'po'li 婆有婆理
'yi'shen'er'er'ren 一身而二任
'hua'zhi 画雉
'yi'yi'zhi'yi 以夷治夷
'chang'lin'fan'jie 常鳞凡介
'chen'yin'bu'jue 沉吟不决
'jiu'shi'chun'guang 九十春光
'feng'yu'cao'chang 風雨操場
'feng'yu'cao'shang 風雨操場
'huan'beng'luan'tiao 欢迸乱跳
'qi'qi'ai'ai 期期艾艾
'xin'bu'man'you 信步漫游
'shen'lou'shan'shi 蜃楼山市
'zhong'mu'gong'shi 众目共视
'wen'sheng'mei'si 闻生没死
'zhen'dian'jiang'jun 镇殿将军
'nan'ran'han'xia 赧然汗下
'sui'gu'fen'shi 碎骨粉尸
'hong'zhuang'su'guo 红妆素裹
'mai'qiao'ying'jian 卖俏迎奸
'huang'feng'wu'zhao 黄风雾罩
'wu'jing'da'cai 无精打彩
'mo'jing'da'cai 无精打彩
'duan'geng'liu'ping 断梗流萍
'zuan'xue'yu'qiang 钻穴逾墙
'zheng'dun'gan'kun 整顿干坤
'wang'he 王何
'bai'guan'ye'li 稗官野吏
'mei'ren'tai'zi 美人胎子
'ren'cong'feng'lang'qi 任从风浪起
'li'bing'mo'ma 砺兵秣马
'shou'yang'bo'shi 瘦羊博士
'qi'qing'bi'ta 奇请比它
'ji'qing'bi'ta 奇请比它
'shui'lu'zhi'zhen 水陆之珍
'luo'xiu'xuan'quan 攞袖揎拳
'qi'zi'ba'xu 七子八婿
'kou'fa'bi'zhu 口伐笔诛
'sou'suo'shen'wei 搜索肾胃
'dan'dan'hu'shi 眈眈虎视
'yan'luo'bao'lao 阎罗包老
'yu'lei'chu'sheng 语类楚声
'dao'ju'xun'huo 蹈矩循彠
'dao'ju'xun'yue 蹈矩循彠
'wei'miao'xuan'tong 微妙玄通
'qi'xi'ju'wu 祁奚举午
'you'shi'zhi'qiu 有事之秋
'zhi'shu'wei'xing 指树为姓
'dao'ju'xun'huo 蹈矩循彟
'dao'ju'xun'yue 蹈矩循彟
'fei'sha'zou'li 飞沙走砾
'xing'chen'su'jia 星辰夙驾
'ba'bu'neng'gou 巴不能勾
'gou'yuan'shang'hua 构怨伤化
'bei'jia'zai'bing 被甲载兵
'pi'jia'zai'bing 被甲载兵
'cha'ke'gao'wei 差可告慰
'you'xian'zi'de 悠闲自得
'er'shi'liu'shi 二十六史
'fu'bei'e'keng 拊背搤吭
'fu'bei'e'hang 拊背搤吭
'nang'kong'ru'xi 囊空如洗
'jin'tui'wu'tu 进退无途
'feng'xiao'yu'hui 風瀟雨晦
'lun'luo'feng'chen 沦落风尘
'hu'po'shi'jie 琥珀拾芥
'hu'po'shi'gai 琥珀拾芥
'hu'po'she'jie 琥珀拾芥
'hu'po'she'gai 琥珀拾芥
'zhong'xing'gong'yue 众星拱月
'xiao'ji'ying'fu 消极应付
'qiao'zha'le'suo 敲诈勒索
'xie'an'wei'qi'du'shu 谢安围棋赌墅
'liang'hai'xiang'jiao'qu'qi'qing 两害相较取其轻
'nian'geng'ri'jia 年庚日甲
'e'shou'cheng'song 额手称颂
'mei'cha'mei'li 没查没利
'shan'ze'shi'ji 善择时机
'xu'lao'lian'pin 恤老怜贫
'ge'you'suo'neng 各有所能
'zhang'jia'li'yi 张甲李乙
'yi'chang'san'tan 一唱三叹
'ji'tun'tong'she 鸡豚同社
'jin'lun'huang'di 金轮皇帝
'you'cun'lie'bai 优存劣败
'mo'tuan'cheng'jing 磨塼成镜
'mo'zhuan'cheng'jing 磨塼成镜
'zhong'kou'tong'sheng 众口同声
'feng'hua'xue'yue 風花雪月
'tao'guang'hui'ji 韬光晦迹
'tiao'fei'jian'shou 挑肥拣瘦
'po'zhu'mai'lun 破柱埋轮
'po'zhu'man'lun 破柱埋轮
'xiang'tu'wen'xue 乡土文学
'dong'shi'zhao'yi 东市朝衣
'du'jue'ren'shi 杜绝人事
'ti'ting'yuan'wen 逖听远闻
'wu'di'san'huang 五帝三皇
'yi'pian'san'sha 一片散沙
'xing'jian 星剑
'qian'ri'niang 千日酿
'yu'jian'xiang'xiao 玉减香消
'da'you'xi'wang 大有希望
'zhu'xuan'shang'bai 注玄尚白
'di'yi'xiang'ji 鞮译象寄
'si'ming'kuang'jian 四明狂监
'wei'qi'ni'tu 委弃泥涂
'jian'shi'zhi'ji 见时知几
'yan'jian'yi'ming 言简意明
'chong'xin'zuo'ren 重新做人
'jie'qie'tan'nang 揭箧探囊
'tao'hua'fu'ren 桃花夫人
'huan'hua'cao'tang 浣花草堂
'ren'you'han'gou 忍尤含垢
'can'ku'wu'qing 残酷无情
'ming'bai'liao'dang 明白了当
'ta'ta'ji'ji 他他籍籍
'jin'hui'wen'wa 晋惠闻蛙
'geng'li'han'qiu 羹藜唅糗
'shu'shou'jiu'bi 束手就毙
'qian'shi'ming'xian 千室鸣弦
'ji'ran'wu'sheng 寂然无声
'lao'wang'mai'gua 老王卖瓜
'hua'ming'liu'mei 花明柳媚
'ling'mu'fu'jian 陵母伏剑
'ku'huai'ju'yi 枯槐聚蚁
'yang'fan'qi'hang 扬帆起航
'juan'juan'zhi'chen 惓惓之忱
'quan'juan'zhi'chen 惓惓之忱
'juan'quan'zhi'chen 惓惓之忱
'quan'quan'zhi'chen 惓惓之忱
'mo'ke'sao'ren 墨客骚人
'wu'ding'shi 五鼎食
'wu'ding'si 五鼎食
'wu'ding'yi 五鼎食
'ming'bai'ru'hua 明白如话
'jiao'zhan'tuan'ti 交战团体
'yan'duo'yu'shi 言多语失
'yi'lu'gong'ming 异路功名
'sheng'yu'da'zhen 声誉大振
'li'yue'long'men 鲤跃龙门
'yi'xue'xi'xie 以血洗血
'zong'heng'kai'he 纵横开阖
'keng'keng'wa'wa 坑坑洼洼
'xiao'xing'fan'zhuan 萧行范篆
'xiao'hang'fan'zhuan 萧行范篆
'xiao'heng'fan'zhuan 萧行范篆
'ni'jin'tie'zi 泥金帖子
'hua'mo'jiu'bing 花魔酒病
'chi'dao'nong'bang 持刀弄棒
'chi'dao'long'bang 持刀弄棒
'yin'yang'zhi'bian 阴阳之变
'yi'pin'bai'shan 一品白衫
'kuai'bu'yan'xi 脍不厌细
'hu'si'chu'xia 虎兕出柙
'hou'bu'zhao'dian 后不着店
'yu'shan'qing'tui 玉山倾颓
'yi'chuan'jiu'bo 移船就泊
'yi'chuan'jiu'po 移船就泊
'si'qi'tou'jiao 似漆投胶
'shi'qi'tou'jiao 似漆投胶
'wu'san'bu'cheng'ji 无三不成几
'mo'san'bu'cheng'ji 无三不成几
'qi'tun'niu'dou 气吞牛斗
'mei'yu'tian'yan 美语甜言
'ren'pin'zhi'duan 人贫智短
'fu'xin'zhi'ji 负薪之疾
'ji'shen'yan'ji 极深研几
'li'chang'bu'wen 立场不稳
'bu'xi'dai'jia 不惜代价
'diao'wen'ke'lou 雕文刻镂
'zi'wei'zhi'shu 自惟至熟
'zi'wei'zhi'shou 自惟至熟
'ji'ni'ji'ji 己溺己饥
'nie'er'bu'zi 涅而不缁
'xi'dao'qian'ren 袭蹈前人
'bi'xian'shou'yi 避嫌守义
'fang'pi'yin'yi 放僻淫佚
'fang'pi'yin'die 放僻淫佚
'bai'shi'dao'ren 白石道人
'ji'lao'cheng'cui 积劳成瘁
'yi'ben'wan'shu 一本万殊
'yi'ben'mo'shu 一本万殊
'wu'feng'xian'sheng 五峰先生
'xing'lin'chun'nuan 杏林春暖
'tan'kong'shuo'you 谈空説有
'tan'kong'shui'you 谈空説有
'tan'kong'yue'you 谈空説有
'suan'wu'yi'ce 算无遗策
'ni'shou'xie'zui 泥首谢罪
'jiao'zong'shi'shi 郊宗石室
'qi'huang'ba'luan 七慌八乱
'shan'rong'hai'na 山容海纳
'xi'feng'xie'yang 西风斜阳
'wo'jiao'xu'ming 蜗角虚名
'zhi'ming'zao'tou 职名早投
'qing'xin'shao'yu 清心少欲
'qian'kou'tun'she 钳口吞舌
'wei'si'tan'sheng 畏死贪生
'feng'mang'bi'lu 锋芒毕露
'fu'xiu'er'qu 拂袖而去
'mai'wen'wei'sheng 卖文为生
'jian'dou'zhai'gua 煎豆摘瓜
'lin'yuan'xian'yu'bu'ru'tui'er'jie'wang 临渊羡鱼不如退而结网
'guang'kai'xian'lu 广开贤路
'chi'ban'dou'shi 尺板斗食
'ming'zhong'shi'an 名重识暗
'ming'chong'shi'an 名重识暗
'ming'zhong'zhi'an 名重识暗
'ming'chong'zhi'an 名重识暗
'bu'ke'bian'bo 不可辩驳
'zhi'jie'liao'dang 直接了当
'kui'yu'yi'xue 溃于蚁穴
'dan'yu'qiang'lin 弹雨枪林
'xiang'feng'tong'wu 相风铜乌
'qiu'shen'wen'bu 求神问卜
'da'ji'xiao'yong 大计小用
'long'dou'hu'zheng 龙斗虎争
'shou'wei'bu'gu 首尾不顾
'yi'di'yi'da 一递一答
'chui'chui'da'da 吹吹打打
'zhu'sheng'chen'liang 主圣臣良
'shen'mu'ru'dian 神目如电
'shen'shi'ding'shi 审时定势
'gu'jun'zuo'zhan 孤军作战
'luo'bi'cheng'ying 落笔成蝇
'si'suo'zhu'zhi 思所逐之
'da'dou'xiao'cheng 大斗小秤
'shen'cai'huan'ran 神采焕然
'tan'kong'shuo'huan 谈空说幻
'bu'ming'zhen'xiang 不明真相
'xiang'xiang'xi'xi 详详细细
'jiu'de'bu'qu'xin'de'bu'lai 旧的不去新的不来
'hun'jing'dan'luo 魂惊胆落
'liao'yi'fen'bi 撩衣奋臂
'liao'yi'fen'bei 撩衣奋臂
'mo'ma'zhi'che 秣马脂车
'mo'ma'zhi'ju 秣马脂车
'jiu'ding'yi'si 九鼎一丝
'hu'zhi'long'na 虎掷龙挐
'hu'zhi'long'ru 虎掷龙挐
'bao'xiao'wan'yi 报效万一
'shi'nian'jiu'bu'yu 十年九不遇
'gou'zhi'bu'shi'qi'yu 狗彘不食其余
'tuo'zhu'ke'yu 唾珠咳玉
'tuo'zhu'hai'yu 唾珠咳玉
'zan'xing'ye'yue 簪星曳月
'huo'yuan'jia'si 火院家私
'ban'bo'lu'li 班驳陆离
'shu'jiu'han'tian 数九寒天
'song'ren'ting'wen 耸人听闻
'ji'bu'fan'gu 计不返顾
'an'zhen'er'wo 安枕而卧
'jie'sheng'er'zhi 结绳而治
'jie'zhu'dai'chou 借箸代筹
'kong'xi'bu'nuan 孔席不暖
'wu'ke'hou'fei 无可厚非
'pi'keng'dao'xu 批吭捣虚
'tao'gen'tao'ye 桃根桃叶
'song'wang'shi'ju 送往事居
'she'ju'bao'shuai 舍车保帅
'tan'xiao'zi'ruo 谈笑自若
'fan'mian'jiao'cai 反面教材
'zhao'liang'mu'jin 朝梁暮晋
'xi'ji'er'qi 喜极而泣
'yi'suo'cheng'nan 一索成男
'nian'jiao'nian'shou 捻脚捻手
'nie'jiao'nian'shou 捻脚捻手
'nian'jue'nian'shou 捻脚捻手
'nian'jiao'nie'shou 捻脚捻手
'nie'jue'nian'shou 捻脚捻手
'nie'jiao'nie'shou 捻脚捻手
'nian'jue'nie'shou 捻脚捻手
'nie'jue'nie'shou 捻脚捻手
'bi'li'bo'la 嗶哩礴喇
'wang'pei'xue'bu 枉辔学步
'tong'sheng'yi'ci 同声一辞
'shi'cai'bu'xue 恃才不学
'ku'tai'sha'yao 刳胎杀夭
'luo'zhi'ru'fei 落纸如飞
'la'zhi'ru'fei 落纸如飞
'lao'zhi'ru'fei 落纸如飞
'xin'jing'yao'ye 心旌摇曳
'zhu'wei'cui'rao 珠围翠绕
'jia'quan'zhu'quan 嫁犬逐犬
'zhong'dou'de'dou 种豆得豆
'zhu'wang'chen'feng 蛛网尘封
'you'shen'mei'qi 有神没气
'can'tang'leng'fan 残汤冷饭
'can'shang'leng'fan 残汤冷饭
'ai'si'ru'chao 哀思如潮
'long'xiang'huo'qu 龙骧蠖屈
'zao'kang'bu'yan 糟糠不厌
'chou'cheng'nan'jie 愁城难解
'jiao'jin'nao'zhi 绞尽脑汁
'jin'ci'er'si 尽辞而死
'pu'du'da'hui 普度大会
'bo'luan'zhu'bao 拨乱诛暴
'bo'luan'zhu'pu 拨乱诛暴
'nu'mu'qie'chi 怒目切齿
'tian'jian'di'tou 田间地头
'jin'ben'tui'mo 进本退末
'jie'cheng'yi'dai 竭诚以待
'ji'xin'dao'huo 纪信蹈火
'ji'shen'dao'huo 纪信蹈火
'qi'xin'he'li 齐心合力
'he'ke'zhi'ci 曷克致此
'yi'wei'luan'zhen 以僞乱真
'xi'si 隙驷
'ping'jun'zhu'yi 平均主义
'an'de'shou'zi 安得兽子
'san'zheng'qi'pi 三征七辟
'san'zheng'qi'bi 三征七辟
