'feng'feng'dian'dian 疯疯癫癫
'feng'shan'kai'dao'yu'shui'zao'qiao 逢山开道遇水造桥
'fu'bu'qi'de'a'dou 扶不起的阿斗
'fu'nian'xia'chu 扶辇下除
'fu'fu'tie'tie 服服帖帖
'fu'xi'huo'suo'fu'huo'xi'fu'suo 福兮祸所伏祸兮福所
'fu'gan'zhuan'ye 弗敢专也
'fu'mu'yi'ti 父母遗体
'fu'dan'she'zhou 负担舍舟
'fu'dao'ren'jia 妇道人家
'gai'bu'you'ji 概不由己
'gan'deng'yan 干瞪眼
'gan'gan'cui'cui 干干脆脆
'gan'gan'jing'jing 干干净净
'gang'ke'xiao'wang 刚克消亡
'ge'ren'zi'sao'men'qian'xue'mo'guan'ta'ren'wa 各人自扫门前雪莫管他人瓦
'geng'ruo'yi 更若役
'gong'ren'bu'hui 供认不讳
'gou'gou'da'da 勾勾搭搭
'gou'tui'zi 狗腿子
'gou'dou'da'kai 狗窦大开
'gu'gu'dan'dan 孤孤单单
'gu'dao'tu'zhe 鼓刀屠者
'gu'feng'shi 故封识
'gu'tou'bu'gu'jiao 顾头不顾脚
'guan'mi'xin'qiao 官迷心窍
'guang'gan'si'ling 光杆司令
'guang'gun'yi'tiao 光棍一条
'guang'ming'da'dao 光明大道
'gui'gui'ju'ju 规规矩矩
'guo'bu'kan'er 国不堪贰
'guo'shi'huo 过时货
'hai'wai'fu'yu 海外扶余
'han'han'hu'hu 含含糊糊
'han'fu'huo'zhe 寒附火者
'han'gai'gan'kun 函盖干坤
'han'lao'bao'shou 旱涝保收
'hao'bu'zai'hu 毫不在乎
'hao'shi'cheng'shuang 好事成双
'he'de'kan'zhi 何德堪之
'he'qi'shuai'ye 何其衰也
'he'bu'long'zui 合不拢嘴
'hei'bai'bu'fen 黑白不分
'heng'mei'leng'dui'qian'fu'zhi 横眉冷对千夫指
'heng'shi 横失
'hong'ci'yuan'mo 弘此远谟
'hong'de'fa'zi 红得发紫
'hong'guang'man'mian 红光满面
'hong'zhuang'su'guo 红妆素裹
'hou'yuan'qi'huo 后院起火
'hu'hu'tu'tu 糊糊涂涂
'hu'tu'dao'ding 糊涂到顶
'hu'lang'zhi'guo 虎狼之国
'hua'bu'zai'hang 话不在行
'huai'ren'huai'shi 坏人坏事
'huan'du'zhi'shi 环堵之室
'huang'di'zi'sun 黄帝子孙
'huang'er'ji'shu 黄耳寄书
'huang'jin'shi'se 黄金失色
'huang'mao'ya'tou 黄毛丫头
'huang'pai'jing'gao 黄牌警告
'huang'yi'shi'zhe 黄衣使者
'hui'lu'zhi'zai 回禄之灾
'huo'dao'zhu'tou'lan'qian'dao'gong'shi'ban 火到猪头烂钱到公事办
'ji'wei'cheng'zhe 积微成着
'ji'wei'cheng'zhao 积微成着
'ji'yu'hu'wei 积于忽微
'ji'zhe'yi'wei'shi'ke'zhe'yi'wei 饥者易为食渴者易为
'ji'ang'qing'yun 激昂青云
'ji'fei'bu'xia'dan 鸡肥不下蛋
'ji'shi'yu 及时雨
'ji'zhang'ju'zhu 急獐拘猪
'ji'jin'yi'ke 几尽一刻
'ji'jia'zhi'zhu 寄豭之猪
'jian'chen'dang'dao 奸臣当道
'jian'ren'zhi'xiong 奸人之雄
'jian'er'yan'zhi 简而言之
'jian'gu'tou 贱骨头
'jian'feng'jiu'zuan 见缝就钻
'jian'wei'zhi'zhe 见微知着
'jian'wei'zhi'zhao 见微知着
'xiang'fu'er'qiu 降服而囚
'jiao'hua'zi 叫化子
'jie'xia'qiu 阶下囚
'jie'jie'shi'shi 结结实实
'jin'bu'huan 金不换
'jin'yao'guan'tou 紧要关头
